SettlementGroupID,TradingRole,HedgeFlag,ValueMode,LongMarginRatio,ShortMarginRatio,InstrumentID,ParticipantID,ClientID
SG01,1,1,1,1.000000,1.000000,600000,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600004,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600006,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600007,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600008,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600009,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600010,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600011,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600012,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600015,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600016,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600017,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600018,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600019,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600020,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600021,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600022,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600023,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600025,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600026,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600027,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600028,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600029,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600030,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600031,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600033,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600035,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600036,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600037,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600038,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600039,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600048,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600050,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600051,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600052,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600053,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600054,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600055,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600056,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600057,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600058,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600059,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600060,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600061,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600062,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600063,00000000,00000000
SG01,1,1,1,1.000000,1.000000,600064,00000000,00000000
