SettlementGroupID,CreateDate,OpenDate,ExpireDate,StartDelivDate,EndDelivDate,BasisPrice,MaxMarketOrderVolume,MinMarketOrderVolume,MaxLimitOrderVolume,MinLimitOrderVolume,PriceTick,AllowDelivPersonOpen,InstrumentID,InstLifePhase,IsFirstTradingDay
SG01,19990923,19991110,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600000,1,1
SG01,20030414,20030428,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600004,1,1
SG01,19990628,19990727,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600006,1,1
SG01,19990127,19990312,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600007,1,1
SG01,20000405,20000427,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600008,1,1
SG01,19980115,19980218,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600009,1,1
SG01,20010214,20010309,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600010,1,1
SG01,20011115,20011206,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600011,1,1
SG01,20021223,20030107,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600012,1,1
SG01,20030826,20030912,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600015,1,1
SG01,20001127,20001219,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600016,1,1
SG01,20060925,20061017,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600017,1,1
SG01,,20061026,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600018,1,1
SG01,20001106,20001212,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600019,1,1
SG01,20030724,20030808,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600020,1,1
SG01,20031014,20031029,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600021,1,1
SG01,20040614,20040629,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600022,1,1
SG01,20131107,20131219,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600023,1,1
SG01,20171205,20171215,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600025,1,1
SG01,20020513,20020523,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600026,1,1
SG01,20050117,20050203,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600027,1,1
SG01,20010702,20010808,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600028,1,1
SG01,20030710,20030725,99991219,99991219,99991219,0.000,1000000,100,1000000,100,0.010,0,600029,1,1
