SettlementGroupID,ProductID,ProductGroupID,UnderlyingInstrID,ProductClass,PositionType,StrikePrice,OptionsType,VolumeMultiple,UnderlyingMultiple,InstrumentID,InstrumentName,DeliveryYear,DeliveryMonth,AdvanceMonth,IsTrading
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600000,浦发银行,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600004,白云机场,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600006,东风汽车,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600007,中国国贸,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600008,首创股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600009,上海机场,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600010,包钢股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600011,华能国际,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600012,皖通高速,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600015,华夏银行,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600016,民生银行,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600017,日 照 港,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600018,上港集团,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600019,宝钢股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600020,中原高速,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600021,上海电力,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600022,山东钢铁,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600023,浙能电力,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600025,华能水电,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600026,中远海能,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600027,华电国际,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600028,中国石化,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600029,南方航空,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600030,中信证券,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600031,三一重工,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600033,福建高速,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600035,楚天高速,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600036,招商银行,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600037,歌华有线,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600038,中直股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600039,四川路桥,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600048,保利地产,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600050,中国联通,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600051,宁波联合,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600052,浙江广厦,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600053,九鼎投资,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600054,黄山旅游,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600055,万东医疗,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600056,中国医药,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600057,象屿股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600058,五矿发展,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600059,古越龙山,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600060,海信电器,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600061,国投资本,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600062,华润双鹤,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600063,皖维高新,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600064,南京高科,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600066,宇通客车,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600067,冠城大通,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600068,葛 洲 坝,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600069,银鸽投资,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600070,浙江富润,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600071,凤凰光学,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600072,中船科技,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600073,上海梅林,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600074,ST保千里,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600075,新疆天业,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600076,康欣新材,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600077,宋都股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600078,澄星股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600079,人福医药,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600080,金花股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600081,东风科技,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600082,海泰发展,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600083,博信股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600084,中葡股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600085,同 仁 堂,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600086,东方金钰,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600088,中视传媒,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600089,特变电工,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600090,同 济 堂,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600091,ST 明 科,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600093,易见股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600094,大 名 城,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600095,哈 高 科,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600096,云 天 化,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600097,开创国际,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600098,广州发展,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600099,林海股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600100,同方股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600101,明星电力,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600103,青山纸业,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600104,上汽集团,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600105,永鼎股份,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600106,重庆路桥,2099,12,012,1
SG01,ZQ_SH,ZQ,ZQ_SH,4,2,,0,1,1.000,600107,美 尔 雅,2099,12,012,1
